created_at_month_year,ONNX,h5/hdf5,numpy,pickle,safetensors,torch.save
2019-02,0.0,0.0,0.0,0.0,0.0,100.0
2019-05,0.0,0.0,0.0,0.0,0.0,100.0
2019-06,0.0,0.0,0.0,0.0,0.0,100.0
2019-08,0.0,0.0,0.0,0.0,0.0,100.0
2019-09,0.0,81.48148148148148,0.0,0.0,0.0,18.51851851851852
2019-10,0.0,100.0,0.0,0.0,0.0,0.0
2019-11,38.46153846153847,0.0,0.0,0.0,0.0,61.53846153846154
2019-12,29.629629629629626,14.814814814814813,0.0,0.0,0.0,55.55555555555556
2020-01,10.0,0.0,0.0,0.0,0.0,90.0
2020-02,0.0,60.0,0.0,0.0,0.0,40.0
2020-03,21.875,3.125,0.0,0.0,0.0,75.0
2020-04,0.0,61.76470588235294,0.0,0.0,0.0,38.23529411764706
2020-05,1.694915254237288,3.389830508474576,0.0,0.0,0.0,94.91525423728814
2020-06,0.0,88.88888888888889,0.0,0.0,0.0,11.11111111111111
2020-07,4.761904761904762,9.523809523809524,0.0,0.0,0.0,85.71428571428571
2020-08,21.951219512195124,26.82926829268293,0.0,0.0,0.0,51.21951219512195
2020-09,0.0,43.58974358974359,0.0,0.0,0.0,56.41025641025641
2020-10,8.823529411764707,35.294117647058826,0.0,0.0,0.0,55.88235294117647
2020-11,30.0,15.0,0.0,0.0,0.0,55.00000000000001
2020-12,22.22222222222222,11.11111111111111,0.0,0.0,0.0,66.66666666666666
2021-01,0.0,16.0,0.0,0.0,0.0,84.0
2021-02,0.0,13.333333333333334,0.0,0.0,0.0,86.66666666666667
2021-03,9.090909090909092,6.8181818181818175,0.0,0.0,0.0,84.0909090909091
2021-04,13.20754716981132,13.20754716981132,0.0,0.0,0.0,73.58490566037736
2021-05,5.263157894736842,18.421052631578945,0.0,0.0,0.0,76.31578947368422
2021-06,6.315789473684211,3.1578947368421053,0.0,0.0,0.0,90.52631578947368
2021-07,4.0,14.000000000000002,0.0,20.0,0.0,62.0
2021-08,1.4925373134328357,1.4925373134328357,0.0,0.0,0.0,97.01492537313433
2021-09,1.550387596899225,3.875968992248062,0.0,0.0,0.0,94.57364341085271
2021-10,9.58904109589041,1.36986301369863,0.0,0.0,0.0,89.04109589041096
2021-11,12.76595744680851,6.382978723404255,0.0,2.127659574468085,0.0,78.72340425531915
2021-12,14.285714285714285,6.593406593406594,0.0,2.197802197802198,0.0,76.92307692307693
2022-01,8.0,4.0,1.3333333333333335,8.0,0.0,78.66666666666666
2022-02,24.778761061946902,4.424778761061947,0.0,0.8849557522123894,0.0,69.91150442477876
2022-03,2.735562310030395,17.02127659574468,0.0,0.4559270516717325,58.51063829787234,21.27659574468085
2022-04,13.461538461538462,1.282051282051282,0.0,0.641025641025641,16.025641025641026,68.58974358974359
2022-05,8.870967741935484,7.258064516129033,0.0,0.0,7.258064516129033,76.61290322580645
2022-06,34.50704225352113,2.112676056338028,0.0,4.225352112676056,9.15492957746479,50.0
2022-07,16.77018633540373,0.6211180124223602,0.0,0.6211180124223602,16.77018633540373,65.21739130434783
2022-08,15.447154471544716,0.8130081300813009,0.0,2.4390243902439024,16.260162601626014,65.04065040650406
2022-09,9.734513274336283,2.6548672566371683,0.0,1.7699115044247788,15.929203539823009,69.91150442477876
